Election No.,President,Pres Party,Presidential Election,Electoral Vote,Congress (Years),Date Members of Congress were elected,# of House Seats,Pro-Administration,Anti-Administration,Other,Del./Res.,,Congress,Years,Total (senate),Dems,Reps,Others,Vacant,Total (house),Dems,Reps,Others,Vacant,,Congress (Years),President,Senate,House
1,George Washington,,"January 7, 1789","February 4, 1789",1,,65,37,28,0,0/0,,,,,,,,,,,,,,,1st (1789-1791),,,
,,,,,2,,69,39,30,0,0/0,,,,,,,,,,,,,,,2nd (1791-1793),,,
2,George Washington,,"November 2, 1792","December 5, 1792",3,,105,51,54,0,36526,,,,,,,,,,,,,,,3rd (1793-1795),,,
,,,,,4,,106,47,59,0,36526,,,,,,,,,,,,,,,4th (1795-1797),,,
3,John Adams,,"November 4, 1796","December 7, 1796",5,,106,57,49,0,0/0,,,,,,,,,,,,,,,5th (1797-1799),,,
,,,,,6,,106,60,46,0,36526,,,,,,,,,,,,,,,6th (1799-1801),,,
4,Thomas Jefferson,,"October 31, 1800","December 3, 1800",7,,106,38,68,0,36557,,,,,,,,,,,,,,,7th (1801-1803),,,
,,,,,8,,142,39,103,0,36526,,,,,,,,,,,,,,,8th (1803-1805),,,
5,Thomas Jefferson,,"November 2, 1804","December 5, 1804",9,,142,28,114,0,36586,,,,,,,,,,,,,,,9th (1805-1807),,,
,,,,,10,,142,26,116,0,36586,,,,,,,,,,,,,,,10th (1807-1809),,,
6,James Madison,,"November 4, 1808","December 7, 1808",11,,142,50,92,0,36586,,,,,,,,,,,,,,,11th (1809-1811),,,
,,,,,12,,143,36,107,0,36647,,,,,,,,,,,,,,,12th (1811-1813),,,
7,James Madison,,"October 30, 1812","December 2, 1812",13,,182,68,114,0,36617,,,,,,,,,,,,,,,13th (1813-1815),,,
,,,,,14,,183,64,119,0,36617,,,,,,,,,,,,,,,14th (1815-1817),,,
8,James Monroe,,"November 1, 1816","December 4, 1816",15,,185,39,146,0,36617,,,,,,,,,,,,,,,15th (1817-1819),,,
,,,,,16,,186,26,160,0,36617,,,,,,,,,,,,,,,16th (1819-1821),,,
9,James Monroe,,"November 3, 1820","December 6, 1820",17,,187,32,155,0,36617,,,,,,,,,,,,,,,17th (1821-1823),,,
,,,,,18,,213,72,64,"Crawford Republicans (53), Adams-Clay Federalists (15),Jackson Federalists (7),Crawford Federalists (2)",36586,,,,,,,,,,,,,,,18th (1823-1825),,,
10,John Quincy Adams,,"October 29, 1824","December 1, 1824",19,,213,109,104,0,36586,,,,,,,,,,,,,,,19th (1825-1827),,,
,,,,,20,,213,100,113,0,36586,,,,,,,,,,,,,,,20th (1827-1829),,,
11,Andrew Jackson,,"October 31, 1828","December 3, 1828",21,,213,72,136,Anti-Masonics (5),36586,,,,,,,,,,,,,,,21st (1829-1831),,,
,,,,,22,,213,66,126,"Anti-Masonics (17),",36586,,,,,,,,,,,,,,,22nd (1831-1833),,,
12,Andrew Jackson,,"November 2, 1832","December 5, 1832",23,,240,63,143,"Anti-Masonics (25), Nullifiers (9)",36586,,,,,,,,,,,,,,,23rd (1833-1835),,,
,,,,,24,,242,75,143,"Anti-Masonics (16),Nullifiers (8)",36617,,,,,,,,,,,,,,,24th (1835-1837),,,
13,Martin Van Buren,,"November 4, 1836","December 7, 1836",25,,242,128,100,"Anti-Masonics (7),Nullifiers (6),Independent (1)",36586,,,,,,,,,,,,,,,25th (1837-1839),,,
,,,,,26,,242,125,109,"Anti-Masonics (6),Conservatives (2)",36586,,,,,,,,,,,,,,,26th (1839-1841),,,
14,William Henry Harrison,,"October 30, 1840","December 2, 1840",27,,242,98,142,"Independent (1),Independent Democrat (1)",36586,,,,,,,,,,,,,,,27th (1841-1843),,,
,,,,,28,,223,147,72,"Law and Order (2),Independent Democrat (1),Independent Whig (1)",36586,,,,,,,,,,,,,,,28th (1843-1845),,,
15,James K. Polk,,"November 1, 1844","December 4, 1844",29,,228,142,79,American (6),36557,,,,,,,,,,,,,,,29th (1845-1847),,,
,,,,,30,,230,110,116,"Independent Democrats (2),American (1),Independent (1)",36526,,,,,,,,,,,,,,,30th (1847-1849),,,
16,Zachary Taylor,,"November 7, 1848","December 6, 1848",31,,233,113,108,"Free Soilers (9),American (1),Independent (1)",36557,,,,,,,,,,,,,,,31st (1849-1851),,,
,,,,,32,,233,127,85,"Unionists (10),Free Soilers (4),Independent Democrats (3),States Rights (3),Independent Whig (1)",36617,,,,,,,,,,,,,,,32nd (1851-1853),,,
17,Franklin Pierce,,"November 2, 1852","December 1, 1852",33,,234,157,71,"Free Soilers (4),Independent (1),Independent Democrat (1)",36708,,,,,,,,,,,,,,,33rd (1853-1855),,,
,,,,,34,,234,83,100,Americans (51),36708,,34th,1855-1857,62,42,15,5,-,234,83,108,43,-,,34th (1855-1857),,,
18,James Buchanan,,"November 4, 1856","December 3, 1856",35,,237,132,90,"Americans (14),Independent Democrat (1)",36708,,35th,1857-1859,64,39,20,5,-,237,131,92,14,-,,35th (1857-1859),,,
,,,,,36,,238,83,116,"Opposition (19),Anti-Lecompton Democrats (8),>Independent Democrats (7),Americans (5)",36647,,36th,1859-1861,66,38,26,2,-,237,101,113,23,-,,36th (1859-1861),,,
19,Abraham Lincoln,,"November 6, 1860","December 5, 1860",37,,183,44,108,"Unionists (26),Constitutional Unionists (2),Unions (2),Independent Democrat (1)",36708,,37th,1861-1863,50,11,31,7,1,178,42,106,28,2,,37th (1861-1863),,,
,,,,,38,,184,72,85,"Unconditional Unionists (16),Unionists (9),Independent Republicans (2)",36800,,38th,1863-1865,51,12,39,-,-,183,80,103,-,-,,38th (1863-1865),,,
20,Abraham Lincoln,,"November 8, 1864","December 7, 1864",39,,193,38,136,"Unconditional Unionists (13),Unionists (5),Independent Republican (1)",36770,,39th,1865-1867,52,10,42,-,-,191,46,145,-,-,,39th (1865-1867),,,
,,,,,40,,226,47,173,"Conservatives (2),Conservative Republican (1),Independent Republican (1)",36739,,40th,1867-1869,53,11,42,-,-,193,49,143,-,1,,40th (1867-1869),,,
21,Ulysses S. Grant,,"November 3, 1868","December 2, 1868",41,,243,67,171,Conservatives (5),36770,,41st,1869-1871,74,11,61,-,2,243,73,170,-,-,,41st (1869-1871),,,
,,,,,42,,243,104,136,"Liberal Republicans (2),Independent Republican (1)",36800,,42nd,1871-1873,74,17,57,-,-,243,104,139,-,-,,42nd (1871-1873),,,
22,Ulysses S. Grant,,"November 5, 1872","December 4, 1872",43,"November  5,  1872",292,88,199,"Liberal Republicans (4),Independent Democrat (1)",36800,,43rd,1873-1875,74,19,54,-,1,293,88,203,-,2,,43rd (1873-1875),,,
,,,,,44,"November  3,  1874",293,182,103,"Independents (4),Independent Republicans (3),Independent Democrat (1)",36770,,44th,1875-1877,76,29,46,-,1,293,181,107,3,2,,44th (1875-1877),,,
23,Rutherford B. Hayes,,"November 7, 1876","December 6, 1876",45,"November  7,  1876",293,155,136,Independent Democrats (2),36739,,45th,1877-1879,76,36,39,1,-,293,156,137,-,-,,45th (1877-1879),,,
,,,,,46,"November  5,  1878",293,141,132,"Nationals (13),Independent Democrats (7)",36739,,46th,1879-1881,76,43,33,-,-,293,150,128,14,1,,46th (1879-1881),,,
24,James A. Garfield,,"November 2, 1880","December 1, 1880",47,"November  2,  1880",293,128,151,"Nationals (10),Readjuster Democrats (2),Independent (1),Independent Democrat (1)",36739,,47th,1881-1883,76,37,37,2,-,293,130,152,11,-,,47th (1881-1883),,,
,,,,,48,"November  7,  1882",325,196,117,"Readjusters (4),Independent Democrats (3),Independents (2),Nationals (2),Independent Republican (1)",36739,,48th,1883-1885,76,36,40,-,-,325,200,119,6,-,,48th (1883-1885),,,
25,Grover Cleveland,,"November 4, 1884","December 3, 1884",49,"November  4,  1884",325,182,141,"Independent Democrat (1),National (1)",36739,,49th,1885-1887,76,34,41,-,1,325,182,140,2,1,,49th (1885-1887),,,
